시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,우편번호,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,임대세대수(공공),임대세대수(민간),관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,주택관리업자 사업자등록번호,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리-관리방식,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애인),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,홈네트워크,긴급자동차 출입가능한 출입문,선택한출입문의 주차관제시스템,긴급전용번호판자동인식여부,긴급자동차 출입방법,긴급자동차 즉시통과,관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
서울특별시,종로구,,명륜2가,A11076701,주상복합아남아파트,주상복합,서울특별시 종로구 명륜2가 237 주상복합아남아파트,,,분양,19990130.0,20140929,1,136.0,136.0,0.0,0,0.0,위탁관리,,복도식,아남건설,아남건설,주식회사 동우개발,2108124699,위탁관리,2.0,자치관리(직영),2.0,,자치관리(직영),2.0,,거점장비수거방식,자치관리,,2,-,기타구조,650,단일계약,위탁선임,기타,고가수조식,위탁관리,2.0,0.0,0.0,0.0,0.0,0.0,163.0,25.0,138.0,70.0,무,정문,무,,,가능,서울시 종로구 혜화로 3길 5,027621006,027651006,"관리사무소, 노인정, 어린이놀이터",8,8.0,2.0,121.0,2.0,미설치,설치,0.0,4.0,입주민전용,,시 분,12시 1분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|홈앤서비스주식회사|,0.0,4.0,없음
서울특별시,종로구,,창신동,A11054101,창신두산,아파트,서울특별시 종로구 창신동 232 창신두산,3104.0,서울특별시 종로구 지봉로5길 7,분양,19990430.0,20090511,3,529.0,529.0,0.0,0,0.0,위탁관리,개별난방,혼합식,두산건설(주),두산건설,율산개발(주),1288114567,위탁관리,6.0,위탁관리,4.0,국제안전시스템,위탁관리,6.0,,음식물쓰레기종량제,위탁관리,,12,"도포식,분무식,독이식",철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,11.0,0.0,0.0,0.0,0.0,0.0,521.0,114.0,407.0,108.0,무,정문,유,부,관리자 등이 긴급자동차임을 확인한 후 차단기를 수동으로 개방해 주는 경우,불가능,서울시 종로구 지봉로5길 7 (창신동),027637006,0262617006,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",23,23.0,2.0,532.0,4.0,미설치,설치,0.0,3.0,,,,0시 0분,,24시 0분,◆1◆|지하|스탠드형충전기|AC3상 7핀|완속|3|한전|,0.0,3.0,없음
서울특별시,종로구,,창신동,A11054301,창신쌍용1단지,아파트,서울특별시 종로구 창신동 702 창신쌍용1단지,3093.0,서울특별시 종로구 동망산길 19,분양,19921125.0,20090511,5,585.0,585.0,0.0,0,0.0,자치관리,개별난방,혼합식,쌍용건설,창신 제1-2 재개발조합, , ,자치관리,6.0,위탁관리,8.0,(주)경진이앤지,위탁관리,6.0,(주)에스제이두웰,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스,12,"분무식,독이식",철근콘크리트구조,275,단일계약,상주선임,P형,부스타방식,위탁관리,10.0,0.0,0.0,0.0,0.0,0.0,306.0,306.0,0.0,60.0,무,정문,무,,,가능,서울시 종로구 동망산 길 19,027471554,027471553,"관리사무소, 노인정, 어린이놀이터",14,14.0,0.0,2.0,2.0,설치,미설치,6.0,0.0,입주민전용,,9시 0분,시 분,23시 59분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|6|GS컨넥트|,6.0,0.0,없음
서울특별시,종로구,,창신동,A11077101,창신쌍용아파트2단지,아파트,서울특별시 종로구 창신동 703 창신쌍용아파트2단지,3092.0,서울특별시 종로구 낙산길 198,분양,19931012.0,20090918,7,919.0,919.0,0.0,0,0.0,위탁관리,개별난방,혼합식,쌍용건설,창신제2지구 재개발조합,(주)동우개발,2108124699,위탁관리,9.0,위탁관리,14.0,(주)뉴맨테크,위탁관리,7.0,로지앤제니스,음식물쓰레기종량제,위탁관리,휘성,12,"분무식,독이식",철근콘크리트구조,1700,단일계약,상주선임,P형,부스타방식,위탁관리,16.0,0.0,0.0,0.0,0.0,1.0,500.0,373.0,127.0,126.0,무,정문,유,여,,가능,서울 종로구창신동703,027666141,0236723555,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,15.0,0.0,837.0,20.0,미설치,설치,0.0,3.0,,입주민전용,,1시 1분,,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|초급속|2|(주)시그넷시스템|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|1|클린일렉스앤컴퍼니|",0.0,3.0,없음
서울특별시,종로구,,창신동,A10021626,창신이수아파트,아파트,서울특별시 종로구 창신동 23-816 창신이수아파트,,,분양,20030808.0,20241114,1,113.0,113.0,0.0,0,0.0,위탁관리,개별난방,계단식,이수건설,더블루피엠씨,(주)더블루피엠씨,2068694963,위탁관리,3.0,,,,위탁관리,2.0,더블루피엠씨,음식물쓰레기종량제,위탁관리,유티탑,6,독이식,철골철근콘크리트구조,782,종합계약,위탁선임,P형,부스타방식,위탁관리,4.0,0.0,0.0,0.0,0.0,0.0,172.0,40.0,132.0,52.0,무,정문,유,부,,가능,"서울시 종로구 지봉로 87 (1층, 관리사무소)",0236963070,,"관리사무소, 노인정, 어린이놀이터",1,,2.0,124.0,3.0,설치,미설치,2.0,0.0,입주민전용,입주민전용,5시 0분,시 분,5시 0분,시 분,◆1◆|지상|스탠드형충전기|직접입력|완속|2|차지비|,2.0,0.0,없음
서울특별시,종로구,,숭인동,A11087601,롯데캐슬천지인,아파트,서울특별시 종로구 숭인동 76 롯데캐슬천지인,3113.0,서울특별시 종로구 종로 347,분양,20040909.0,20090511,2,220.0,220.0,0.0,0,0.0,위탁관리,개별난방,타워형,롯데건설,롯데건설,남경종합관리(주),2098139853,위탁관리,5.0,위탁관리,4.0,남경종합관리,위탁관리,3.0,남경종합관리,차량수거방식,위탁관리,태인이엔지,18,"분무식,기구부착식,독이식",철근콘크리트구조,3650,종합계약,상주선임,R형,부스타방식,위탁관리,0.0,0.0,4.0,0.0,0.0,0.0,286.0,0.0,286.0,88.0,무,정문,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,종로구 종로 347,0236706111,0236706114,"관리사무소, 노인정, 자전거보관소",30,30.0,4.0,316.0,7.0,미설치,설치,0.0,7.0,입주민전용,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|7|차지비|,0.0,7.0,없음
서울특별시,종로구,,숭인동,A10024713,숭인상가아파트,주상복합,서울특별시 종로구 숭인동 204-11 숭인상가아파트,3117.0,서울특별시 종로구 청계천로 391,분양,19791022.0,20200818,1,109.0,109.0,0.0,0,0.0,위탁관리,개별난방,복도식,현대건설,현대건설,주식회사 동재시스템,2158653194,위탁관리,4.0,,,,위탁관리,2.0,동재시스템,음식물쓰레기종량제,위탁관리,대성이엔브이,12,"분무식,기구설치식",철골철근콘크리트구조,500,단일계약,위탁선임,P형,부스타방식,위탁관리,2.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,71.0,16.0,무,주차장,무,,,가능,서울시 종로구 청계천로 391,0222525630,0222525633,관리사무소,8,8.0,1.0,65.0,0.0,미설치,미설치,0.0,0.0,,,시 분,시 분,시 분,시 분,,,,없음
서울특별시,종로구,,숭인동,A11087602,종로센트레빌,아파트,서울특별시 종로구 숭인동 2-1 종로센트레빌,3107.0,서울특별시 종로구 동망산길 47,분양,20081121.0,20090806,6,416.0,416.0,0.0,0,0.0,위탁관리,개별난방,계단식,동부건설,숭인제4구역재정비사업조합,(주)덕우,1278163880,위탁관리,5.0,위탁관리,5.0,한국보안컨설팅(주),위탁관리,5.0,(주)이엠피서비스,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스,4,"분무식,독이식",철근콘크리트구조,2350,단일계약,상주선임,R형,부스타방식,위탁관리,18.0,0.0,0.0,0.0,0.0,0.0,512.0,3.0,509.0,127.0,무,정문,유,여,,가능,서울시 종로구 동망산길 47,0236721213,0236721244,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",12,12.0,3.0,502.0,17.0,설치,설치,3.0,8.0,입주민전용,입주민전용,0시 0분,0시 0분,23시 59분,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|1|시그넷시스템|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|4|코스텔|,◆3◆|지상|벽부형충전기|AC단상 5핀|완속|3|sk일렉링크|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|3|sk일렉링크|",3.0,8.0,없음
서울특별시,종로구,,숭인동,A11055002,종로청계힐스테이트,아파트,서울특별시 종로구 숭인동 766 종로청계힐스테이트,3112.0,서울특별시 종로구 숭인동길 21,분양,20090320.0,20090511,6,288.0,288.0,0.0,0,0.0,위탁관리,개별난방,계단식,현대건설,숭인5구역주택개발조합,남경종합관리(주),2098139853,위탁관리,4.0,위탁관리,4.0,국제경보산업(주),위탁관리,3.0,,음식물쓰레기종량제,위탁관리,,4,"분무식,독이식",철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,10.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,342.0,93.0,무,정문,유,부,관리자 등이 긴급자동차임을 확인한 후 차단기를 수동으로 개방해 주는 경우,불가능,서울시 종로구 숭인동길 21,029290540,029290541,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",20,20.0,2.0,342.0,2.0,미설치,설치,0.0,7.0,,입주민전용,,24시 1분,,24시 1분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|차지비|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|5|한국알박|",0.0,7.0,있음
서울특별시,종로구,,평동,A10027105,경희궁자이3단지,주상복합,서울특별시 종로구 평동 233 경희궁자이3단지,3180.0,서울특별시 종로구 경교장길 35,분양,20170224.0,20170316,8,589.0,589.0,0.0,0,0.0,위탁관리,개별난방,계단식,자이건설(주),돈의문1구역 도시환경 사업조합,우리관리(주),1148123107,위탁관리,7.0,위탁관리,7.0,SK쉴더스,위탁관리,8.0,주아이원서비스,음식물쓰레기종량제,위탁관리,이수환경공사(주),12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,5057.32,단일계약,상주선임,R형,부스타방식,위탁관리,25.0,0.0,0.0,0.0,0.0,0.0,734.0,0.0,734.0,238.0,유,정문,유,여,,가능,"서울특별시 종로구 경교장길 35 관리사무소(평동,경희궁자이)",027372101,027372102,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20,20.0,4.0,750.0,30.0,미설치,설치,0.0,15.0,,입주민전용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|에버온|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|10|차지비|",0.0,15.0,없음
서울특별시,종로구,,홍파동,A10027118,경희궁자이2단지 아파트,주상복합,서울특별시 종로구 홍파동 199 경희궁자이2단지 아파트,3165.0,서울특별시 종로구 송월길 99,분양,20170224.0,20170314,14,1148.0,1148.0,0.0,0,0.0,위탁관리,개별난방,계단식,GS건설,돈의문1구역 도시환경 사업조합,(주)타워피엠씨,2208648320,위탁관리,19.0,위탁관리,8.0,(주)에스원,위탁관리,16.0,,음식물쓰레기종량제,위탁관리,,12,분무식,철근콘크리트구조,8500,단일계약,상주선임,R형,부스타방식,위탁관리,40.0,0.0,0.0,0.0,0.0,0.0,1456.0,0.0,1456.0,363.0,유,정문,유,여,,가능,서울특별시 종로구 송월길 99 경희궁자이아파트,027232107,027232109,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",21,21.0,2.0,1094.0,54.0,미설치,설치,0.0,124.0,,입주민전용,,0시 0분,,0시 0분,"◆1◆|지하|벽부형충전기|직접입력|완속|10|에버온|,◆2◆|지하|벽부형충전기|직접입력|완속|14|나이스|,◆3◆|지하|벽부형충전기|직접입력|완속|50|유니브이|,◆4◆|지하|벽부형충전기|직접입력|완속|10|지커넥트|,◆5◆|지하|벽부형충전기|직접입력|완속|40|플러그링크|",0.0,124.0,없음
서울특별시,종로구,,교북동,A10026940,경희궁자이4단지주상복합,주상복합,서울특별시 종로구 교북동 126 경희궁자이4단지주상복합,3165.0,서울특별시 종로구 송월길 155,분양,20170629.0,20170712,3,182.0,182.0,0.0,0,0.0,위탁관리,개별난방,계단식,지에스건설,돈의문지역주택조합,자이에스앤디(주),1208603362,위탁관리,5.0,위탁관리,2.0,동진파트너스(주),위탁관리,4.0,동진파트너스(주),차량수거방식,위탁관리,동아기업환경,4,"도포식,독이식",철골철근콘크리트구조,1700,종합계약,상주선임,P형,부스타방식,위탁관리,4.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,222.0,31.0,유,지상주차장,무,,,가능,서울시 종로구 송월길 155,0232100985,0232100986,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",19,19.0,5.0,190.0,3.0,미설치,설치,0.0,0.0,,외부인허용,,0시 0분,,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|파워큐브|,◆2◆|지하|이동형충전기|AC단상 5핀|완속|10|파워큐브|,◆3◆|지하|이동형충전기|AC단상 5핀|완속|20|한국알박|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|5|한국알박|",0.0,40.0,있음
서울특별시,종로구,,행촌동,A10026946,경희궁자이1단지(임대아파트),아파트,서울특별시 종로구 행촌동 211 경희궁자이1단지(임대아파트),3166.0,서울특별시 종로구 송월길 130,임대,20170629.0,20170710,5,496.0,0.0,496.0,496,0.0,위탁관리,개별난방,복도식,GS자이,서울주택도시공사(구 SH공사),남경종합관리(주),2098139853,위탁관리,5.0,위탁관리,3.0,태림,위탁관리,3.0,,차량수거방식,위탁관리,,12,독이식,철근콘크리트구조,2600,단일계약,상주선임,GR형,부스타방식,위탁관리,9.0,0.0,8.0,0.0,0.0,1.0,501.0,0.0,501.0,109.0,유,정문,유,여,,가능,서울특별시 종로구 송월길 130,027395383,027395385,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",19,19.0,2.0,496.0,10.0,미설치,설치,0.0,0.0,,외부인허용,,0시 0분,,23시 59분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|2|지커넥트|,0.0,2.0,없음
서울특별시,종로구,,구기동,A10021355,구기동 청구빌라,연립주택,서울특별시 종로구 구기동 266- 구기동 청구빌라,,,분양,19971231.0,20241126,9,114.0,114.0,0.0,0,0.0,자치관리,개별난방,계단식,(주)청구,(주)청구, , ,자치관리,2.0,자치관리,,,위탁관리,2.0,크린아이글로벌,음식물쓰레기종량제,위탁관리,거문환경,2,-,철근콘크리트구조,129,기타,위탁선임,기타,부스타방식,,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,0.0,27.0,무,정문,무,,,가능,"서울특별시 종로구 홍지문길 69 (구기동,청구빌라)",0234177700,,,3,,1.0,0.0,0.0,미설치,미설치,0.0,0.0,,,0시 분,0시 분,0시 분,0시 분,,,,없음
서울특별시,종로구,,구기동,A10024669,동익빌라,연립주택,서울특별시 종로구 구기동 40 동익빌라,3013.0,서울특별시 종로구 홍지문길 64,분양,19961107.0,20200907,9,123.0,123.0,0.0,0,0.0,위탁관리,,계단식,(주)동익건설,(주)동익건설,한국주택관리(주),1298002558,위탁관리,,,,,,,,,,,,-,,,,,,,,,,,,,,0.0,,,,,,,,,가능,동익빌라관리사무소,0232171209,023946159,,1,3.0,0.0,,,미설치,설치,0.0,3.0,,,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|직접입력|완속|3|(주)이지차저|,0.0,3.0,없음
